seven hours  ,3,facilities
parking garage  ,4,facilities
rather tedious  ,3,experience
always incapable  ,5,experience
as bad  ,3,experience
always understaffed  ,5,experience
dr higgins  ,20,doctor
very unnecessary  ,12,experience
health care  ,4,experience
emergency department  ,9,facilities
very rude  ,12,staff
emergency room  ,15,facilities
simply pathetic  ,3,experience
lab work  ,4,facilities
horrible hospital  ,5,experience
very unfortunate  ,12,experience
worst service  ,3,facilities
parking lot  ,4,facilities
hospital food  ,5,food
very weak  ,12,experience
tiny vials  ,3,facilities
scientist lab  ,4,facilities
