free machine  ,4,facilities
comfortable angles  ,4,facilities
good bargain  ,9,financial
top ranking  ,6,experience
special needs  ,3,facilities
wonderful stay  ,7,experience
live music  ,3,facilities
new patients  ,6,facilities
main lobby  ,7,facilities
many years  ,7,experience
hot sauce  ,6,food
reasonable quality  ,3,experience
fresh towels  ,3,facilities
great day  ,17,experience
significant time  ,7,facilities
high energy  ,4,staff
great job  ,16,experience
great staff  ,21,staff
great everyone  ,15,staff
pleasant stay  ,5,experience
many people  ,9,staff
healthcare professional  ,3,facilities
beautiful decorations  ,3,experience
great career  ,15,experience
friendly staff  ,11,staff
top notch  ,8,experience
great variety  ,16,experience
busy hospital  ,15,experience
excellent doctors  ,5,staff
good food  ,13,food
nice volunteers  ,8,staff
main hospital  ,18,experience
huge relief  ,3,experience
wonderful staff  ,12,staff
great place  ,18,experience
good security  ,9,facilities
great experience  ,21,experience
wonderful place  ,9,experience
hot section  ,6,facilities
many times  ,8,experience
nice front  ,8,facilities
great selection  ,15,experience
advanced facility  ,3,facilities
excellent response  ,4,experience
wonderful experience  ,12,experience
hot tea  ,6,food
good choices  ,9,experience
first floor  ,9,facilities
much experience  ,10,staff
many time  ,11,experience
proud knowing  ,3,experience
great care  ,20,experience
easy state  ,4,experience
pleasant experience  ,10,experience
main entrance  ,9,facilities
good experience  ,15,experience
lovely folks  ,3,staff
free wireless  ,4,facilities
nice people  ,10,staff
certain areas  ,3,facilities
right wing  ,4,facilities
clean floors  ,4,facilities
great deal  ,15,financial
genuine concern  ,3,experience
steady entering  ,3,facilities
nice gifts  ,8,experience
nice thing  ,9,experience
large cafeteria  ,3,facilities
awesome experience  ,9,experience
comfortable recliner  ,4,facilities
attentive care  ,8,facilities
hot chocolate  ,6,food
good job  ,10,experience
nice place  ,11,experience
favorite hospital  ,14,experience
own elevator  ,3,facilities
