wet filth  ,3,facilities
similar surgeries  ,6,facilities
bed pan  ,5,facilities
little pissed  ,4,experience
statistical websites  ,3,facilities
so disappointed  ,7,experience
insurance company  ,3,facilities
pain medication  ,8,facilities
rusty saw  ,3,facilities
very long  ,8,facilities
pain management  ,6,staff
otherwise unpleasant  ,3,experience
wait room  ,6,facilities
horrible experience  ,6,experience
customer care  ,5,experience
not medical  ,4,facilities
hospital care  ,10,experience
fire hazard  ,3,facilities
pocket prescription  ,3,facilities
very uncomfortable  ,14,experience
bit bossy  ,3,staff
birth plan  ,3,birth plan
security guard  ,3,staff
nausea inducing  ,3,experience
unrealistic expectations  ,3,facilities
hospital business  ,8,facilities
dr kanter  ,4,doctor
dr. eller  ,10,doctor
witch doctor  ,3,doctor
numbing shot  ,3,facilities
recovery room  ,9,facilities
highly disappointed  ,4,experience
healthcare system  ,4,facilities
decompression surgery  ,3,facilities
unrelated surgeries  ,5,facilities
noise control  ,3,facilities
patient clinic  ,5,facilities
not safe  ,4,experience
truly horrendous  ,3,experience
negative aspects  ,3,experience
few tests  ,4,facilities
hospital stay  ,9,experience
hospital room  ,11,facilities
nurse reading  ,3,staff
birthing experience  ,8,birth plan
im delivering  ,3,birth plan
recovery wing  ,6,facilities
trauma unit  ,3,facilities
department directory  ,3,facilities
incompetent system  ,4,facilities
recovery care  ,8,facilities
ceiling tile  ,7,facilities
really painful  ,4,experience
