good bedside  ,12,facilities
top floor  ,4,facilities
much faith  ,4,experience
whole situation  ,4,experience
nice views  ,4,experience
old father  ,5,facilities
top notch  ,4,experience
superior care  ,14,facilities
frequent visitor  ,3,experience
good chat  ,12,experience
great work  ,14,experience
awesome snack  ,3,food
wonderful service  ,3,facilities
good mechanics  ,24,facilities
good health  ,12,facilities
extraordinary care  ,14,facilities
good food  ,13,food
good experience  ,13,experience
excellent care  ,15,experience
great expectations  ,7,experience
whole hospital  ,10,experience
great care  ,18,facilities
free clinic  ,3,facilities
beautiful hospital  ,9,experience
